sepal.length,sepal.width,petal.width,Gaussian Process,Random Forest
4.3,3.0,0.1,2.9999999927922545,3.0
4.4,2.9,0.2,2.8999998641247657,2.8999999999999995
4.4,3.0,0.2,3.0000002244396455,3.0
4.4,3.2,0.2,3.199999744665547,3.2
4.5,2.3,0.3,2.3000000039046427,2.2700000000000005
4.6,3.1,0.2,3.0999998556617356,3.1000000000000005
4.6,3.2,0.2,3.2000023896243874,3.2
4.6,3.4,0.3,3.3999999835941708,3.3999999999999995
4.6,3.6,0.2,3.5999999551468136,3.5900000000000007
4.7,3.2,0.2,3.1999974370955897,3.2
4.7,3.2,0.2,3.1999974370955897,3.2
4.8,3.0,0.1,3.000000047199137,3.0
4.8,3.0,0.3,2.9999999768770067,3.0
4.8,3.1,0.2,3.100002495890294,3.1000000000000005
4.8,3.4,0.2,3.4000008836792404,3.3999999999999995
4.8,3.4,0.2,3.4000008836792404,3.3999999999999995
4.9,2.4,1.0,2.3999999840198143,2.37
4.9,2.5,1.7,2.4999999947558535,2.4899999999999998
4.9,3.0,0.2,2.9999977501320245,3.0
4.9,3.1,0.1,3.0999999293544533,3.1000000000000005
4.9,3.1,0.2,3.1000027802638215,3.1000000000000005
4.9,3.6,0.1,3.5999998299430445,3.5900000000000007
5.0,2.0,1.0,1.9999999955143721,2.06
5.0,2.3,1.0,2.3000000337597157,2.2700000000000005
5.0,3.0,0.2,3.0000008987026376,3.0
5.0,3.2,0.2,3.199997047875513,3.2
5.0,3.3,0.2,3.2999997278893716,3.3
5.0,3.4,0.2,3.4000010217987437,3.3999999999999995
5.0,3.4,0.4,3.4000000047308276,3.3999999999999995
5.0,3.5,0.3,3.4999998238363332,3.5100000000000002
5.0,3.5,0.6,3.499999963763912,3.5100000000000002
5.0,3.6,0.2,3.5999979696089213,3.5900000000000007
5.1,2.5,1.1,2.4999999848441803,2.5
5.1,3.3,0.5,3.300000068720692,3.3
5.1,3.4,0.2,3.4000009912633686,3.3999999999999995
5.1,3.5,0.2,3.500000815756721,3.5
5.1,3.5,0.3,3.4999996349133653,3.5
5.1,3.7,0.4,3.700000589334195,3.72
5.1,3.8,0.2,3.800001553730908,3.79
5.1,3.8,0.3,3.799999306450445,3.8
5.1,3.8,0.4,3.7999998912537194,3.8
5.2,2.7,1.4,2.700000062064646,2.7
5.2,3.4,0.2,3.399999867697261,3.3999999999999995
5.2,3.5,0.2,3.5000001017642717,3.5
5.2,4.1,0.1,4.099999894811845,4.1
5.3,3.7,0.2,3.699998670561399,3.71
5.4,3.0,1.5,2.999999904935976,3.0
5.4,3.4,0.2,3.400000124111102,3.3999999999999995
5.4,3.4,0.4,3.4000000164251105,3.3999999999999995
5.4,3.7,0.2,3.700000697534051,3.71
5.4,3.9,0.4,3.899999995723192,3.9300000000000006
5.4,3.9,0.4,3.899999995723192,3.9300000000000006
5.5,2.3,1.3,2.3000001513973984,2.29
5.5,2.4,1.0,2.4000001626554877,2.4199999999999995
5.5,2.4,1.1,2.3999993032266502,2.4199999999999995
5.5,2.5,1.3,2.4999997611776053,2.5
5.5,2.6,1.2,2.600000184142118,2.6000000000000005
5.5,3.5,0.2,3.4999998389012035,3.5
5.5,4.2,0.2,4.200000037717473,4.08
5.6,2.5,1.1,2.5000012674645404,2.5
5.6,2.7,1.3,2.6999997521415935,2.7
5.6,2.8,2.0,2.8000000339561666,2.8000000000000003
5.6,2.9,1.3,2.899999738565384,2.8999999999999995
5.6,3.0,1.3,2.99999997737541,3.0
5.6,3.0,1.5,3.000000252697646,3.0
5.7,2.5,2.0,2.5000000054278644,2.5
5.7,2.6,1.0,2.5999989029478456,2.6000000000000005
5.7,2.8,1.3,2.800000168808765,2.8000000000000003
5.7,2.8,1.3,2.800000168808765,2.8000000000000003
5.7,2.9,1.3,2.9000005992056685,2.8999999999999995
5.7,3.0,1.2,2.9999997468585207,3.0
5.7,3.8,0.3,3.8000000201582225,3.8
5.7,4.4,0.4,4.399999994073369,4.15
5.8,2.6,1.2,2.600000080448808,2.6000000000000005
5.8,2.7,1.0,2.7000009917064745,2.7
5.8,2.7,1.2,2.6999988397801644,2.7
5.8,2.7,1.9,2.6999999653817213,2.7
5.8,2.7,1.9,2.6999999653817213,2.7
5.8,2.8,2.4,2.799999993027086,2.8000000000000003
5.8,4.0,0.2,3.9999999810779627,3.97
5.9,3.0,1.5,2.9999997789818735,3.0
5.9,3.0,1.8,2.999999253253918,3.0
5.9,3.2,1.8,3.2000000773005013,3.2
6.0,2.2,1.0,2.2000000116458978,2.19
6.0,2.2,1.5,2.199999920077971,2.1999999999999997
6.0,2.7,1.6,2.700000262742833,2.7
6.0,2.9,1.5,2.8999989981493854,2.8999999999999995
6.0,3.0,1.8,3.0000015569057723,3.0
6.0,3.4,1.6,3.399999973753438,3.3999999999999995
6.1,2.6,1.4,2.599999765974644,2.6000000000000005
6.1,2.8,1.2,2.7999985289025062,2.8000000000000003
6.1,2.8,1.3,2.8000031912742998,2.8000000000000003
6.1,2.9,1.4,2.9000008985749446,2.8999999999999995
6.1,3.0,1.4,3.0000004600078682,3.0
6.1,3.0,1.8,2.999998917694029,3.0
6.2,2.2,1.5,2.2000000619846105,2.1999999999999997
6.2,2.8,1.8,2.8000005820431397,2.8000000000000003
6.2,2.9,1.3,2.899997997952596,2.8999999999999995
6.2,3.4,2.3,3.3999999772713636,3.3999999999999995
6.3,2.3,1.3,2.2999999426792783,2.2800000000000002
6.3,2.5,1.5,2.500000225041731,2.5
6.3,2.5,1.9,2.5000000199579517,2.5
6.3,2.7,1.8,2.6999996781305526,2.7
6.3,2.8,1.5,2.799998160593532,2.8000000000000003
6.3,2.9,1.8,2.9000001266431354,2.8999999999999995
6.3,3.3,1.6,3.300000054652628,3.3
6.3,3.3,2.5,3.299999976403342,3.3
6.3,3.4,2.4,3.400000001383887,3.3999999999999995
6.4,2.7,1.9,2.7000000507032382,2.7
6.4,2.8,2.1,2.7999998846025846,2.8000000000000003
6.4,2.8,2.2,2.8000000542597263,2.8000000000000003
6.4,2.9,1.3,2.9000015929123037,2.8999999999999995
6.4,3.1,1.8,3.0999997780963895,3.1000000000000005
6.4,3.2,1.5,3.2000000029111106,3.2
6.4,3.2,2.3,3.2000001845844963,3.2
6.5,2.8,1.5,2.8000004405912478,2.8000000000000003
6.5,3.0,1.8,3.000001479216735,3.0
6.5,3.0,2.0,2.9999990856922523,3.0
6.5,3.0,2.2,3.000000076735887,3.0
6.5,3.2,2.0,3.1999999648724042,3.2
6.6,2.9,1.3,2.899999546174513,2.8999999999999995
6.6,3.0,1.4,2.9999995325160853,3.0
6.7,2.5,1.8,2.4999999547799234,2.5
6.7,3.0,1.7,2.999999756204488,3.0
6.7,3.0,2.3,3.000000089767127,3.0
6.7,3.1,1.4,3.1000004878915206,3.1000000000000005
6.7,3.1,1.5,3.099999344391108,3.1000000000000005
6.7,3.1,2.4,3.0999999010109605,3.1000000000000005
6.7,3.3,2.1,3.3000000293177436,3.3
6.7,3.3,2.5,3.300000009714495,3.3
6.8,2.8,1.4,2.800000044007902,2.8000000000000003
6.8,3.0,2.1,3.000000444073521,3.0
6.8,3.2,2.3,3.1999997013717802,3.2
6.9,3.1,1.5,3.100000360471313,3.1000000000000005
6.9,3.1,2.1,3.099999684458453,3.1000000000000005
6.9,3.1,2.3,3.0999998694169335,3.1000000000000005
6.9,3.2,2.3,3.200000431668741,3.2
7.0,3.2,1.4,3.1999999044128344,3.2
7.1,3.0,2.1,2.999999928415491,3.0
7.2,3.0,1.6,2.9999999949795892,3.0
7.2,3.2,1.8,3.2000000282059773,3.2
7.2,3.6,2.5,3.5999999894393113,3.5800000000000005
7.3,2.9,1.8,2.8999999189054506,2.8999999999999995
7.4,2.8,1.9,2.8000000622596417,2.8000000000000003
7.6,3.0,2.1,3.0000000266809366,3.0
7.7,2.6,2.3,2.5999999998193744,2.6000000000000005
7.7,2.8,2.0,2.799999985722934,2.8000000000000003
7.7,3.0,2.3,2.99999999245847,3.0
7.7,3.8,2.2,3.8000000024003384,3.8
7.9,3.8,2.0,3.799999997445866,3.8
